"Duration (ms)","Start date","End date","Start station number","Start station","End station number","End station","Bike number","Member type"
381420,"2017-04-01 00:00:22","2017-04-01 00:06:43",31238,"14th & G St NW",31202,"14th & R St NW",W22257,Member
590302,"2017-04-01 00:02:02","2017-04-01 00:11:53",31109,"7th & T St NW",31278,"18th & R St NW",W20006,Member
2938105,"2017-04-01 00:02:32","2017-04-01 00:51:30",31289,"Henry Bacon Dr & Lincoln Memorial Circle NW",31238,"14th & G St NW",W22225,Casual
380155,"2017-04-01 00:03:02","2017-04-01 00:09:23",31121,"Calvert St & Woodley Pl NW",31104,"Adams Mill & Columbia Rd NW",W20146,Member
423202,"2017-04-01 00:03:38","2017-04-01 00:10:41",31023,"Fairfax Dr & Wilson Blvd",31034,"N Randolph St & Fairfax Dr",W00316,Member
1422548,"2017-04-01 00:04:12","2017-04-01 00:27:55",31077,"Iwo Jima Memorial/N Meade & 14th St N",31036,"George Mason Dr & Wilson Blvd",W20489,Member
462243,"2017-04-01 00:06:20","2017-04-01 00:14:02",31274,"10th & G St NW",31519,"1st & O St NW",W22301,Member
1653044,"2017-04-01 00:07:29","2017-04-01 00:35:02",31282,"16th & R St NW",31234,"20th & O St NW / Dupont South",W22746,Casual
1488506,"2017-04-01 00:07:45","2017-04-01 00:32:33",31282,"16th & R St NW",31234,"20th & O St NW / Dupont South",W00027,Casual
2660567,"2017-04-01 00:10:51","2017-04-01 00:55:12",31034,"N Randolph St & Fairfax Dr",31067,"Columbia Pike & S Walter Reed Dr",W00316,Member
294858,"2017-04-01 00:11:23","2017-04-01 00:16:18",31121,"Calvert St & Woodley Pl NW",31113,"Columbia Rd & Belmont St NW",W21149,Member
34240504,"2017-04-01 00:13:10","2017-04-01 09:43:50",31229,"New Hampshire Ave & T St NW",31505,"Eckington Pl & Q St NE",W22072,Member
452054,"2017-04-01 00:14:50","2017-04-01 00:22:22",31111,"10th & U St NW",31509,"New Jersey Ave & R St NW",W21349,Member
452496,"2017-04-01 00:16:40","2017-04-01 00:24:12",31506,"1st & Rhode Island Ave NW",31505,"Eckington Pl & Q St NE",W01389,Member
1488611,"2017-04-01 00:16:42","2017-04-01 00:41:30",31115,"Columbia Rd & Georgia Ave NW",32006,"13th St & Eastern Ave",W21234,Casual
260383,"2017-04-01 00:17:19","2017-04-01 00:21:39",31232,"7th & F St NW / National Portrait Gallery",31604,"3rd & H St NW",W00291,Member
246743,"2017-04-01 00:17:32","2017-04-01 00:21:39",31212,"21st & M St NW",31237,"25th St & Pennsylvania Ave NW",W00254,Member
457543,"2017-04-01 00:18:14","2017-04-01 00:25:51",31278,"18th & R St NW",31121,"Calvert St & Woodley Pl NW",W22169,Member
4027430,"2017-04-01 00:19:25","2017-04-01 01:26:32",31262,"11th & F St NW",31262,"11th & F St NW",W00921,Casual
4029991,"2017-04-01 00:19:30","2017-04-01 01:26:40",31262,"11th & F St NW",31262,"11th & F St NW",W21077,Casual
135785,"2017-04-01 00:19:58","2017-04-01 00:22:14",31641,"2nd St & Massachusetts Ave NE",31639,"2nd & G St NE",W00138,Member
131270,"2017-04-01 00:19:59","2017-04-01 00:22:10",31641,"2nd St & Massachusetts Ave NE",31639,"2nd & G St NE",W21714,Member
981356,"2017-04-01 00:20:36","2017-04-01 00:36:57",31219,"10th St & Constitution Ave NW",31503,"Florida Ave & R St NW",W21625,Member
166766,"2017-04-01 00:21:25","2017-04-01 00:24:11",31117,"15th & Euclid St  NW",31105,"14th & Harvard St NW",W01179,Member
285985,"2017-04-01 00:22:24","2017-04-01 00:27:10",31233,"17th & K St NW / Farragut Square",31263,"10th & K St NW",W20408,Member
228724,"2017-04-01 00:27:04","2017-04-01 00:30:52",31101,"14th & V St NW",31116,"California St & Florida Ave NW",W00135,Member
