"Duration (ms)","Start date","End date","Start station number","Start station","End station number","End station","Bike number","Member type"
197068,"2017-10-01 00:00:02","2017-10-01 00:03:19",31214,"17th & Corcoran St NW",31229,"New Hampshire Ave & T St NW",W21022,Member
434934,"2017-10-01 00:00:23","2017-10-01 00:07:38",31104,"Adams Mill & Columbia Rd NW",31602,"Park Rd & Holmead Pl NW",W00470,Member
955437,"2017-10-01 00:00:56","2017-10-01 00:16:52",31221,"18th & M St NW",31103,"16th & Harvard St NW",W20206,Member
461619,"2017-10-01 00:00:56","2017-10-01 00:08:37",31111,"10th & U St NW",31102,"11th & Kenyon St NW",W21014,Member
3357184,"2017-10-01 00:00:59","2017-10-01 00:56:56",31260,"23rd & E St NW ",31260,"23rd & E St NW ",W22349,Casual
2235414,"2017-10-01 00:01:06","2017-10-01 00:38:21",31260,"23rd & E St NW ",31289,"Henry Bacon Dr & Lincoln Memorial Circle NW",W21107,Casual
1177391,"2017-10-01 00:01:14","2017-10-01 00:20:51",31603,"1st & M St NE",31259,"20th St & Virginia Ave NW",W00708,Casual
470153,"2017-10-01 00:01:19","2017-10-01 00:09:09",31285,"22nd & P ST NW",31201,"15th & P St NW",W22460,Member
549673,"2017-10-01 00:02:01","2017-10-01 00:11:10",31102,"11th & Kenyon St NW",31503,"Florida Ave & R St NW",W00875,Member
481637,"2017-10-01 00:03:08","2017-10-01 00:11:10",31280,"11th & S St NW",31506,"1st & Rhode Island Ave NW",W00492,Member
504093,"2017-10-01 00:03:22","2017-10-01 00:11:46",31116,"California St & Florida Ave NW",31275,"New Hampshire Ave & 24th St NW",W01221,Member
278855,"2017-10-01 00:03:59","2017-10-01 00:08:38",31125,"15th & W St NW",31202,"14th & R St NW",W22386,Member
817857,"2017-10-01 00:04:10","2017-10-01 00:17:48",31268,"12th & U St NW",31400,"Georgia & New Hampshire Ave NW",W21512,Member
456590,"2017-10-01 00:05:07","2017-10-01 00:12:44",31042,"Market Square / King St & Royal St",31098,"King St Metro North / Cameron St",W22964,Member
274091,"2017-10-01 00:05:42","2017-10-01 00:10:16",31641,"2nd St & Massachusetts Ave NE",31604,"3rd & H St NW",W21214,Member
185006,"2017-10-01 00:06:00","2017-10-01 00:09:05",31104,"Adams Mill & Columbia Rd NW",31121,"Calvert St & Woodley Pl NW",W20553,Member
329045,"2017-10-01 00:06:04","2017-10-01 00:11:33",31241,"Thomas Circle",31125,"15th & W St NW",W20705,Member
179097,"2017-10-01 00:06:05","2017-10-01 00:09:05",31104,"Adams Mill & Columbia Rd NW",31121,"Calvert St & Woodley Pl NW",W20703,Member
245759,"2017-10-01 00:06:06","2017-10-01 00:10:12",31252,"21st St & Pennsylvania Ave NW",31206,"19th & E Street NW",W21089,Member
1268953,"2017-10-01 00:06:12","2017-10-01 00:27:21",31240,"Ohio Dr & West Basin Dr SW / MLK & FDR Memorials",31258,"Lincoln Memorial",W01106,Casual
1241639,"2017-10-01 00:06:18","2017-10-01 00:27:00",31240,"Ohio Dr & West Basin Dr SW / MLK & FDR Memorials",31258,"Lincoln Memorial",W21442,Casual
1248658,"2017-10-01 00:06:26","2017-10-01 00:27:15",31240,"Ohio Dr & West Basin Dr SW / MLK & FDR Memorials",31258,"Lincoln Memorial",W21731,Casual
536460,"2017-10-01 00:07:25","2017-10-01 00:16:22",31401,"14th St & Spring Rd NW",31101,"14th & V St NW",W00945,Member
1201530,"2017-10-01 00:07:31","2017-10-01 00:27:32",31103,"16th & Harvard St NW",31014,"Lynn & 19th St North",W22907,Casual
885966,"2017-10-01 00:08:13","2017-10-01 00:22:59",31200,"Massachusetts Ave & Dupont Circle NW",31602,"Park Rd & Holmead Pl NW",W00472,Member
2472695,"2017-10-01 00:08:26","2017-10-01 00:49:38",31247,"Jefferson Dr & 14th St SW",31261,"21st St & Constitution Ave NW",W22853,Member
284595,"2017-10-01 00:08:33","2017-10-01 00:13:18",31214,"17th & Corcoran St NW",31285,"22nd & P ST NW",W22928,Member
2468662,"2017-10-01 00:08:44","2017-10-01 00:49:53",31298,"15th & M St NW",31298,"15th & M St NW",W21834,Casual
2444050,"2017-10-01 00:08:54","2017-10-01 00:49:38",31247,"Jefferson Dr & 14th St SW",31261,"21st St & Constitution Ave NW",W23032,Member
2437250,"2017-10-01 00:09:02","2017-10-01 00:49:39",31247,"Jefferson Dr & 14th St SW",31261,"21st St & Constitution Ave NW",W20541,Member
1039344,"2017-10-01 00:09:04","2017-10-01 00:26:23",31506,"1st & Rhode Island Ave NW",31614,"11th & H St NE",W00569,Member
444227,"2017-10-01 00:09:07","2017-10-01 00:16:31",31613,"Eastern Market Metro / Pennsylvania Ave & 7th St SE",31630,"15th & East Capitol St NE",W21931,Member
952234,"2017-10-01 00:09:26","2017-10-01 00:25:18",31511,"12th & Irving St NE",31266,"11th & M St NW",W21112,Member
365018,"2017-10-01 00:09:31","2017-10-01 00:15:36",31125,"15th & W St NW",31116,"California St & Florida Ave NW",W20500,Member
343402,"2017-10-01 00:10:24","2017-10-01 00:16:08",31208,"M St & New Jersey Ave SE",31609,"Maine Ave & 7th St SW",W22713,Member
1451011,"2017-10-01 00:10:39","2017-10-01 00:34:50",31258,"Lincoln Memorial",31288,"4th St & Madison Dr NW",W01038,Casual
1448688,"2017-10-01 00:10:48","2017-10-01 00:34:57",31258,"Lincoln Memorial",31288,"4th St & Madison Dr NW",W20069,Casual
5159183,"2017-10-01 00:11:17","2017-10-01 01:37:16",31290,"17th St & Independence Ave SW",31247,"Jefferson Dr & 14th St SW",W20317,Casual
907277,"2017-10-01 00:11:42","2017-10-01 00:26:50",31200,"Massachusetts Ave & Dupont Circle NW",31636,"New Jersey Ave & N St NW/Dunbar HS",W23064,Member
253163,"2017-10-01 00:12:34","2017-10-01 00:16:47",31201,"15th & P St NW",31229,"New Hampshire Ave & T St NW",W00890,Member
592534,"2017-10-01 00:12:52","2017-10-01 00:22:44",31645,"6th & K St NE",31519,"1st & O St NW",W23371,Member
687922,"2017-10-01 00:14:15","2017-10-01 00:25:43",31109,"7th & T St NW",31116,"California St & Florida Ave NW",W20349,Member
862907,"2017-10-01 00:15:22","2017-10-01 00:29:45",31293,"31st & Water St NW",31285,"22nd & P ST NW",W00687,Casual
314413,"2017-10-01 00:15:46","2017-10-01 00:21:00",31202,"14th & R St NW",31200,"Massachusetts Ave & Dupont Circle NW",W22386,Member
1053935,"2017-10-01 00:16:46","2017-10-01 00:34:20",31250,"20th & L St NW",31261,"21st St & Constitution Ave NW",W01067,Casual
925530,"2017-10-01 00:16:53","2017-10-01 00:32:19",31047,"Braddock Rd Metro",31910,"Potomac Ave & Main Line Blvd",W01444,Casual
1022800,"2017-10-01 00:17:01","2017-10-01 00:34:04",31250,"20th & L St NW",31261,"21st St & Constitution Ave NW",W00783,Casual
451516,"2017-10-01 00:17:13","2017-10-01 00:24:44",31405,"Georgia Ave & Emerson St NW",31400,"Georgia & New Hampshire Ave NW",W01293,Member
1581266,"2017-10-01 00:17:36","2017-10-01 00:43:57",32036,"Fenton St & Ellsworth Dr ",31403,"5th & Kennedy St NW",W23348,Member
689008,"2017-10-01 00:17:51","2017-10-01 00:29:20",31293,"31st & Water St NW",31285,"22nd & P ST NW",W20719,Casual
366111,"2017-10-01 00:18:08","2017-10-01 00:24:14",31119,"14th & Belmont St NW",31126,"11th & Girard St NW",W21172,Member
766112,"2017-10-01 00:18:24","2017-10-01 00:31:10",31624,"North Capitol St & F St NW",31202,"14th & R St NW",W23075,Member
2622200,"2017-10-01 00:18:25","2017-10-01 01:02:08",31127,"22nd & H St NW",31205,"21st & I St NW",W20994,Casual
211789,"2017-10-01 00:18:31","2017-10-01 00:22:03",32048,"Bethesda Metro",32055,"Woodmont Ave & Strathmore St",W00129,Member
249342,"2017-10-01 00:18:33","2017-10-01 00:22:42",31019,"Wilson Blvd & N Edgewood St",31089,"Court House Metro / 15th & N Uhle St ",W00694,Member
249687,"2017-10-01 00:18:37","2017-10-01 00:22:47",31019,"Wilson Blvd & N Edgewood St",31089,"Court House Metro / 15th & N Uhle St ",W20256,Member
4795213,"2017-10-01 00:18:53","2017-10-01 01:38:48",31303,"Tenleytown / Wisconsin Ave & Albemarle St NW",31320,"Nebraska Ave/AU East Campus",W20511,Casual
392987,"2017-10-01 00:19:00","2017-10-01 00:25:33",31303,"Tenleytown / Wisconsin Ave & Albemarle St NW",31320,"Nebraska Ave/AU East Campus",W22088,Casual
1243192,"2017-10-01 00:19:08","2017-10-01 00:39:51",31300,"Van Ness Metro / UDC",31306,"39th & Calvert St NW / Stoddert",W00966,Member
373706,"2017-10-01 00:19:18","2017-10-01 00:25:32",31303,"Tenleytown / Wisconsin Ave & Albemarle St NW",31320,"Nebraska Ave/AU East Campus",W21563,Member
229490,"2017-10-01 00:19:23","2017-10-01 00:23:12",31021,"Clarendon Blvd & N Fillmore St",31089,"Court House Metro / 15th & N Uhle St ",W00112,Casual
